Segons nombre centres,,,,,,,,,,Segons nombre gasolineres,,,,
Number of centers,Number of gas stations,Initial solution type,profits,execution time OF THE INITIAL STATE CREATION,,,,,,Number of centers,Number of gas stations,Initial solution type,profits,execution time OF THE INITIAL STATE CREATION
94,100,simple,108208,9.31E-05,,,,,,100,94,simple,103260,9.43E-05
94,100,complex,123268,1.57E-04,,,,,,100,94,complex,117720,1.40E-05
95,100,empty,123284,0,,,,,,100,95,empty,118556,0
95,100,simple,108208,9.40E-05,,,,,,100,95,simple,104320,9.56E-05
95,100,complex,123320,1.57E-04,,,,,,100,95,complex,118592,1.38E-05
96,100,empty,123284,0,,,,,,100,96,empty,119492,0
96,100,simple,108208,9.65E-05,,,,,,100,96,simple,104844,9.66E-05
96,100,complex,123320,1.57E-04,,,,,,100,96,complex,119528,1.54E-05
97,100,empty,123284,0,,,,,,100,97,empty,120488,0
97,100,simple,108208,9.74E-05,,,,,,100,97,simple,105840,9.75E-05
97,100,complex,123320,1.69E-04,,,,,,100,97,complex,120524,1.40E-05
98,100,empty,123356,0,,,,,,100,98,empty,121444,0
98,100,simple,108240,9.61E-05,,,,,,100,98,simple,106308,9.64E-05
98,100,complex,123392,1.63E-04,,,,,,100,98,complex,121480,1.35E-05
99,100,empty,123356,0,,,,,,100,99,empty,122368,0
99,100,simple,108240,1.01E-04,,,,,,100,99,simple,107248,1.00E-04
99,100,complex,123392,1.93E-04,,,,,,100,99,complex,122404,1.37E-05
100,100,empty,123380,0,,,,,,100,100,empty,123380,0
100,100,simple,108240,1.07E-04,,,,,,100,100,simple,108240,1.02E-04
100,100,complex,123416,1.31E-04,,,,,,100,100,complex,123416,1.40E-05
