Opcio,Steps,stiter,k,lamb,profits,execution time
1,6000,201,1,9.999999999999999E-5,82316,0.258
1,6000,201,1,0.001,84244,0.267
1,6000,201,11,1.0E-7,81964,0.258
1,6000,201,11,1.0E-6,86422,0.258
1,6000,201,11,9.999999999999999E-6,83742,0.262
1,6000,201,11,9.999999999999999E-5,77042,0.255
1,6000,201,11,0.001,84670,0.272
1,6000,201,21,1.0E-7,86268,0.275
1,6000,201,21,1.0E-6,85224,0.264
1,6000,201,21,9.999999999999999E-6,85926,0.26
1,6000,201,21,9.999999999999999E-5,74218,0.271
1,6000,201,21,0.001,74740,0.279
1,6000,251,1,1.0E-7,79928,0.265
1,6000,251,1,1.0E-6,76498,0.266
1,6000,251,1,9.999999999999999E-6,83668,0.26
1,6000,251,1,9.999999999999999E-5,74900,0.263
1,6000,251,1,0.001,82352,0.267
1,6000,251,11,1.0E-7,85486,0.244
1,6000,251,11,1.0E-6,83714,0.264
1,6000,251,11,9.999999999999999E-6,82394,0.268
1,6000,251,11,9.999999999999999E-5,80482,0.247
1,6000,251,11,0.001,78066,0.261
1,6000,251,21,1.0E-7,86344,0.254
1,6000,251,21,1.0E-6,86644,0.262
1,6000,251,21,9.999999999999999E-6,83068,0.264
1,6000,251,21,9.999999999999999E-5,78628,0.266
1,6000,251,21,0.001,82728,0.249
1,7000,1,1,1.0E-7,78186,0.302
1,7000,1,1,1.0E-6,81384,0.296
1,7000,1,1,9.999999999999999E-6,70040,0.287
1,7000,1,1,9.999999999999999E-5,86644,0.31
1,7000,1,1,0.001,85802,0.301
1,7000,1,11,1.0E-7,82994,0.303
1,7000,1,11,1.0E-6,83750,0.299
1,7000,1,11,9.999999999999999E-6,81962,0.31
1,7000,1,11,9.999999999999999E-5,81694,0.32
1,7000,1,11,0.001,83880,0.294
1,7000,1,21,1.0E-7,82568,0.301
1,7000,1,21,1.0E-6,83918,0.3
1,7000,1,21,9.999999999999999E-6,77324,0.316
1,7000,1,21,9.999999999999999E-5,85304,0.301
1,7000,1,21,0.001,83324,0.305
1,7000,51,1,1.0E-7,80166,0.298
1,7000,51,1,1.0E-6,83344,0.305
1,7000,51,1,9.999999999999999E-6,82248,0.317
1,7000,51,1,9.999999999999999E-5,76270,0.303
1,7000,51,1,0.001,74572,0.292
1,7000,51,11,1.0E-7,79616,0.313
1,7000,51,11,1.0E-6,84292,0.31
1,7000,51,11,9.999999999999999E-6,85126,0.318
1,7000,51,11,9.999999999999999E-5,86010,0.305
1,7000,51,11,0.001,85752,0.296
1,7000,51,21,1.0E-7,83326,0.291
1,7000,51,21,1.0E-6,85630,0.3
1,7000,51,21,9.999999999999999E-6,84650,0.308
1,7000,51,21,9.999999999999999E-5,87052,0.289
1,7000,51,21,0.001,84068,0.312
1,7000,101,1,1.0E-7,83290,0.315
1,7000,101,1,1.0E-6,78880,0.299
